,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
0,MS_METABOLITE_DATA_START,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Samples,Plasma01-01_7_1_2272,Plasma01-02_7_1_2273,Plasma03-01_9_1_2276,Plasma03-02_9_1_2277,Plasma04-01_10_1_2278,Plasma04-02_10_1_2279,Plasma05-01_11_1_2280,Plasma05-02_11_1_2281,Plasma06-01_12_1_2282,Plasma06-02_12_1_2283,Plasma07-01_13_1_2284,Plasma07-02_13_1_2285,Plasma17-01_23_1_2304,Plasma17-02_23_1_2305,Plasma18-01_24_1_2306,Plasma18-02_24_1_2307,Plasma19-01_25_1_2308,Plasma19-02_25_1_2309,Plasma20-01_26_1_2310,Plasma20-02_26_1_2311,Plasma21-01_27_1_2312,Plasma21-02_27_1_2313,Plasma22-01_28_1_2314,Plasma22-02_28_1_2315,Plasma23-01_29_1_2316,Plasma23-02_29_1_2317,Plasma24-01_30_1_2318,Plasma24-02_30_1_2319,Plasma25-01_31_1_2320,Plasma25-02_31_1_2321,Plasma26-01_32_1_2322,Plasma26-02_32_1_2323,Plasma27-01_33_1_2324,Plasma27-02_33_1_2325,Plasma28-01_34_1_2326,Plasma28-02_34_1_2327,Plasma29-01_35_1_2328,Plasma29-02_35_1_2329,Plasma30-01_36_1_2330,Plasma30-02_36_1_2331,Plasma31-01_37_1_2332,Plasma31-02_37_1_2333,Plasma32-01_38_1_2338,Plasma32-02_38_1_2339,Plasma33-01_39_1_2340,Plasma33-02_39_1_2341,Plasma34-01_40_1_2342,Plasma34-02_40_1_2343,Plasma65-01_71_1_2418,Plasma65-02_71_1_2419,Plasma66-01_72_1_2420,Plasma66-02_72_1_2421,Plasma67-01_73_1_2422,Plasma67-02_73_1_2423,Plasma68-01_74_1_2424,Plasma68-02_74_1_2425,Plasma69-01_75_1_2426,Plasma69-02_75_1_2427,Plasma70-01_76_1_2428,Plasma70-02_76_1_2429,Plasma71-01_77_1_2430,Plasma71-02_77_1_2431,Plasma72-01_78_1_2432,Plasma72-02_78_1_2433,Plasma73-01_79_1_2434,Plasma73-02_79_1_2435,Plasma74-01_80_1_2436,Plasma74-02_80_1_2437,Plasma75-01_81_1_2438,Plasma75-02_81_1_2439,Plasma76-01_82_1_2440,Plasma76-02_82_1_2441,Plasma77-01_83_1_2442,Plasma77-02_83_1_2443,Plasma78-01_84_1_2444,Plasma78-02_84_1_2445,Plasma79-01_85_1_2446,Plasma79-02_85_1_2447,Plasma80-01_86_1_2448,Plasma80-02_86_1_2449,Plasma81-01_87_1_2450,Plasma81-02_87_1_2451,Plasma82-01_88_1_2452,Plasma82-02_88_1_2453,Plasma83-01_89_1_2454,Plasma83-02_89_1_2455,Plasma84-01_90_1_2456,Plasma84-02_90_1_2457,Plasma85-01_91_1_2458,Plasma85-02_91_1_2459
2,Factors,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe,Severity of Disease:Severe
3,"1,3-Dimethyluric acid",1536,1648,130,0,0,0,0,184,0,0,642,378,1994,2170,0,316,926,708,624,298,3494,4978,1394,1660,810,758,4222,4652,9036,7504,2334,2538,432,0,1644,1024,8576,8182,1970,2468,330,0,1940,2182,0,0,3002,2422,0,0,0,0,0,0,0,0,0,0,3632,3756,848,1106,0,0,332,0,1954,2578,0,0,302,320,242,950,708,1018,0,0,3326,3542,0,1126,270,150,0,0,640,238,1948,1616
4,1-Methyladenosine,856,730,596,1934,160,1410,2060,2610,2376,3150,3402,3212,0,164,464,162,1360,1126,1702,1206,1776,2318,2044,1862,1102,1074,2602,3218,1630,136,2174,74,1680,1382,2126,120,5040,4516,2428,1696,1430,1450,496,262,1168,1078,1678,1968,524,360,406,270,400,1034,2034,1140,190,100,1570,0,1186,1062,1244,1546,1690,2410,450,1290,132,926,848,0,1712,1422,1734,2138,1402,1114,1900,0,0,284,0,1190,0,0,0,0,0,1310
5,"2,5-Furandicarboxylic acid",8892,10082,11810,11820,9104,8732,11374,10326,11764,12838,12038,13738,12724,11578,6988,7204,12974,13852,11634,13560,14882,14794,13134,10826,9342,9912,14468,14404,10558,13340,14044,13482,10742,11150,11750,11726,11662,11338,10896,11740,13224,13580,11004,11150,8862,10652,12674,12200,2544,3224,2990,2922,5438,5718,4638,5402,2704,3406,11756,11414,6744,6120,10290,9924,8514,10094,7744,7468,7400,7468,6370,6754,10508,10300,12326,11204,5682,6588,10482,11058,10868,9928,6246,7746,5862,5898,13694,12278,7646,7288
6,2-Pyrrolidinone,18430,14266,18060,17312,12302,10476,7888,5930,3820,5146,6138,6600,5262,5456,4358,4498,6078,4592,4772,4344,5934,4786,3672,3928,4984,6032,5912,5740,4526,6630,5898,7506,4090,4486,4898,5514,5504,6132,5762,4642,6430,0,4702,4476,3868,4104,2690,3630,2746,2960,2304,2996,2600,2424,2994,3252,3668,4216,5144,3706,4484,4172,4316,4758,5156,6498,4296,3446,4014,2784,2790,2860,3604,3730,3608,3980,2126,3784,2286,2730,3706,3470,2672,3112,2340,2216,2544,2100,2142,2798
7,"3,4,5-Trimethoxycinnamic acid",29002,27858,18276,18574,7606,7020,82894,84282,47378,44246,45380,46252,25556,27624,24764,25274,26722,27466,14506,14418,11704,9848,128616,122116,3656,3578,17632,16840,9568,10236,10230,8810,25046,19236,29840,34932,2984,3462,13628,10232,51122,49064,15958,16596,16046,13630,41946,37146,4032,2424,2016,1942,3222,2882,11232,12212,408,402,15146,16844,12788,14566,21924,18732,7410,6796,4176,5742,5012,4758,5750,6252,1970,2132,9384,10826,10150,10500,37428,36358,3268,3636,8688,9074,10466,9814,2516,3174,7398,6916
8,"3,5-Dimethoxyphenol",5856,4650,5178,2636,4564,3468,2788,1756,4092,1956,3328,3564,2926,2712,3836,2526,3562,2502,3268,3546,3024,2366,2320,2236,1906,2306,2024,1992,2760,1840,2748,2150,3380,2386,3752,2492,1108,1072,2224,2094,2240,2792,2844,3084,2390,3370,2938,2134,2360,2250,1954,1594,2640,2260,1810,1764,2428,2808,1804,2120,2546,2080,3010,2584,1676,1520,1720,2044,2354,1794,1932,1552,2892,3006,2570,2730,2182,2242,1788,1460,2648,3026,2050,2244,2670,2118,2808,2168,3922,3898
9,3-Indolepropionic acid,4874,4606,6446,5764,688,864,2088,1756,0,0,0,0,1812,2724,0,0,718,678,590,412,2096,1742,0,0,810,658,2438,1638,1792,1788,976,798,614,602,0,0,866,974,1220,1172,2778,2322,1176,866,356,308,1400,1344,0,214,0,0,98,194,468,510,538,400,358,200,1742,1664,2310,1964,0,0,632,844,740,610,1980,1540,0,0,2022,1960,0,0,1772,1596,1386,1452,378,262,366,678,1430,2272,704,1026
